,m_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified,total_score
1016,12052820,7855516,Entire home/apt,,Brighton,3,4.0,4,1.0,150.0,1.0,42.346821999999996,-71.139186,2016-05-19 01:09:14.624401,5.134
689,4603588,4195134,Entire home/apt,,Back Bay,3,4.0,3,1.0,175.0,21.0,42.355177000000005,-71.07886500000001,2016-05-18 20:13:27.136175,5.134
596,11303149,59082726,Private room,,North End,3,4.0,2,1.0,100.0,1.0,42.364249,-71.052933,2016-05-18 21:48:15.574304,5.134
1300,826555,4335656,Entire home/apt,,South End,3,4.0,4,1.0,84.0,5.0,42.347142,-71.074428,2016-05-18 21:21:09.174010,5.134
2302,11922134,24997738,Entire home/apt,,North End,3,4.0,4,1.0,150.0,1.0,42.364305,-71.056167,2016-05-19 01:24:48.428859,5.134
1075,11553697,5539314,Entire home/apt,,Jamaica Plain,3,4.0,5,3.0,200.0,1.0,42.321732,-71.11187,2016-05-19 01:37:14.102026,5.134
2449,4628907,15019209,Private room,,Brighton,6,3.0,2,1.0,55.0,1.0,42.34942,-71.14008100000001,2016-05-18 19:52:28.143172,5.268
221,4287366,22257404,Entire home/apt,,South Boston,5,3.5,3,2.0,200.0,1.0,42.331476,-71.048888,2016-05-19 02:33:26.563787,5.390000000000001
246,11583581,24257739,Private room,,Fenway,4,4.0,2,1.0,70.0,1.0,42.343722,-71.089124,2016-05-19 01:14:40.004335,5.5120000000000005
1441,27141,25188,Entire home/apt,,South End,4,4.0,2,1.0,279.0,2.0,42.342586,-71.079691,2016-05-19 00:43:21.612594,5.5120000000000005
3016,11609324,2998040,Private room,,South End,4,4.0,1,1.0,80.0,1.0,42.346339,-71.06394300000001,2016-05-18 23:37:38.778991,5.5120000000000005
389,8892267,29539675,Entire home/apt,,South Boston,4,4.0,6,2.0,229.0,1.0,42.330286,-71.037387,2016-05-18 23:45:17.580768,5.5120000000000005
1151,9994945,34850950,Entire home/apt,,Fenway,4,4.0,2,1.0,90.0,,42.341984000000004,-71.090721,2016-05-19 01:55:56.458633,5.5120000000000005
2102,1066767,5291968,Entire home/apt,,East Boston,4,4.0,6,2.0,101.0,2.0,42.383685,-71.038081,2016-05-19 01:02:52.877662,5.5120000000000005
1111,5748064,25910317,Entire home/apt,,Roxbury,4,4.0,4,1.0,150.0,1.0,42.312488,-71.08445400000001,2016-05-18 23:57:43.033600,5.5120000000000005
759,3389896,17102895,Private room,,Dorchester,4,4.0,2,1.0,59.0,1.0,42.296405,-71.05540699999999,2016-05-18 19:57:20.841962,5.5120000000000005
1103,6576530,14785487,Entire home/apt,,Roxbury,4,4.0,8,3.0,450.0,3.0,42.311336,-71.085128,2016-05-18 22:50:27.330925,5.5120000000000005
3207,3250847,886871,Private room,,Dorchester,4,4.0,1,1.0,70.0,2.0,42.317254999999996,-71.053855,2016-05-19 01:17:36.028047,5.5120000000000005
2289,6627469,4718853,Entire home/apt,,Dorchester,3,4.5,4,2.0,200.0,1.0,42.319109000000005,-71.061683,2016-05-18 23:50:11.899253,5.634
1782,7553969,23531248,Entire home/apt,,Beacon Hill,3,4.5,2,0.0,140.0,2.0,42.359465,-71.071065,2016-05-18 20:55:51.661048,5.634
302,3193484,16186589,Private room,,Dorchester,3,4.5,1,1.0,70.0,3.0,42.288185999999996,-71.06920799999999,2016-05-19 00:39:15.448287,5.634
1836,5768819,22348222,Entire home/apt,,South End,3,4.5,2,0.0,155.0,7.0,42.344186,-71.07608499999999,2016-05-19 02:47:58.197059,5.634
1024,8301150,39088458,Entire home/apt,,Allston,3,4.5,2,1.0,175.0,2.0,42.349084000000005,-71.136896,2016-05-18 21:51:21.706651,5.634
1230,8497555,10132799,Entire home/apt,,Back Bay,3,4.5,4,0.0,139.0,1.0,42.349457,-71.08880500000001,2016-05-19 01:36:51.205936,5.634
2901,7509273,26956083,Private room,,Brighton,3,4.5,1,1.0,69.0,2.0,42.360881,-71.1414,2016-05-18 21:47:35.653044,5.634
1177,9367059,1488999,Entire home/apt,,Fenway,3,4.5,5,1.0,229.0,1.0,42.34655,-71.09291,2016-05-18 23:04:48.661894,5.634
1162,4181163,9419684,Entire home/apt,,Fenway,3,4.5,5,2.0,309.0,3.0,42.343458,-71.100635,2016-05-19 02:19:59.436142,5.634
2429,10569282,48494513,Entire home/apt,,Back Bay,3,4.5,6,3.0,319.0,2.0,42.353956,-71.074446,2016-05-18 23:11:17.151720,5.634
2883,7403927,405376,Private room,,Brighton,3,4.5,4,1.0,125.0,3.0,42.351352,-71.168588,2016-05-18 21:37:48.811234,5.634
466,9217717,47932622,Private room,,Fenway,3,4.5,1,1.0,72.0,1.0,42.343938,-71.09490500000001,2016-05-19 00:48:29.759557,5.634
359,8321805,12039349,Entire home/apt,,South End,3,4.5,3,2.0,320.0,1.0,42.343191999999995,-71.068359,2016-05-19 00:08:11.090308,5.634
519,7356415,914630,Private room,,Dorchester,3,4.5,6,1.0,325.0,1.0,42.288713,-71.056455,2016-05-18 22:35:52.701950,5.634
1485,4787233,4897723,Entire home/apt,,South End,3,4.5,4,2.0,290.0,1.0,42.340992,-71.080197,2016-05-19 00:28:23.378889,5.634
1975,12398621,43450256,Entire home/apt,,Beacon Hill,3,4.5,2,0.0,160.0,1.0,42.357358000000005,-71.07167,2016-05-18 21:43:33.070429,5.634
1363,12351909,18150109,Entire home/apt,,Roxbury,3,4.5,4,0.0,109.0,,42.328078999999995,-71.096199,2016-05-18 23:48:23.369587,5.634
365,11563716,9419684,Entire home/apt,,South Boston Waterfront,3,4.5,6,3.0,389.0,3.0,42.351717,-71.047257,2016-05-19 00:05:37.928599,5.634
793,12047007,62149054,Shared room,,Brighton,3,4.5,2,1.0,75.0,1.0,42.347535,-71.156267,2016-05-18 19:45:02.452696,5.634
952,7275018,534259,Entire home/apt,,West Roxbury,3,4.5,3,2.0,100.0,1.0,42.290302000000004,-71.160612,2016-05-18 20:13:45.398741,5.634
991,8867072,11813089,Entire home/apt,,South Boston,3,4.5,3,1.0,300.0,1.0,42.343011,-71.056635,2016-05-18 19:51:02.836748,5.634
1736,7474615,22348222,Entire home/apt,,Back Bay,3,4.5,2,0.0,148.0,7.0,42.350699,-71.08233100000001,2016-05-19 01:24:36.847483,5.634
2022,12020829,18202088,Entire home/apt,,Back Bay,3,4.5,4,2.0,179.0,2.0,42.346765000000005,-71.078353,2016-05-18 22:51:00.073969,5.634
1043,3977877,14993032,Entire home/apt,,Jamaica Plain,3,4.5,2,1.0,110.0,1.0,42.317626000000004,-71.108654,2016-05-19 01:02:13.892076,5.634
1554,1775935,25188,Entire home/apt,,Back Bay,3,4.5,4,2.0,299.0,4.0,42.346521,-71.078384,2016-05-18 23:27:06.547058,5.634
566,11767622,6950436,Private room,,South Boston,3,4.5,2,1.0,128.0,1.0,42.329487,-71.052247,2016-05-18 21:59:38.786179,5.634
2356,5702292,19280995,Private room,,Jamaica Plain,3,4.5,2,1.0,55.0,1.0,42.31315,-71.104788,2016-05-19 02:55:22.924697,5.634
2319,11514237,15172911,Entire home/apt,,Jamaica Plain,3,4.5,2,1.0,100.0,2.0,42.311909,-71.106755,2016-05-19 00:05:46.243373,5.634
2971,4461613,22348222,Private room,,Beacon Hill,3,4.5,1,1.0,150.0,7.0,42.360809,-71.064193,2016-05-18 22:13:57.723661,5.634
226,7476936,5366301,Private room,,Dorchester,3,4.5,2,1.0,100.0,1.0,42.316759999999995,-71.04105600000001,2016-05-19 02:32:14.222351,5.634
1790,1567259,8336638,Entire home/apt,,Beacon Hill,3,4.5,4,2.0,180.0,2.0,42.359066999999996,-71.067859,2016-05-19 00:24:55.285549,5.634
2944,7395978,24567367,Private room,,Allston,3,4.5,2,1.0,80.0,3.0,42.350867,-71.129175,2016-05-18 20:58:03.673302,5.634
1931,5280183,4195134,Entire home/apt,,Back Bay,3,4.5,2,0.0,110.0,21.0,42.355305,-71.07953499999999,2016-05-19 00:56:48.075528,5.634
2309,12149592,65234391,Entire home/apt,,Charlestown,3,4.5,2,0.0,109.0,3.0,42.377016,-71.060491,2016-05-18 22:42:39.078845,5.634
2304,12389066,63421037,Entire home/apt,,Dorchester,3,4.5,2,2.0,100.0,1.0,42.321321999999995,-71.06008299999999,2016-05-19 01:42:19.304083,5.634
2989,2189086,3945988,Private room,,Back Bay,3,4.5,1,1.0,80.0,2.0,42.352121999999994,-71.088759,2016-05-19 02:18:55.372459,5.634
284,12497846,67677418,Private room,,Mission Hill,3,4.5,1,1.0,64.0,5.0,42.333174,-71.10683900000001,2016-05-19 00:59:24.079687,5.634
